theme,title,legal_status,page_url,pdf_path,status
Trabalho,"Decreto-Lei n.º 209/2009 - Diário da República n.º 171/2009, Série I de 2009-09-03",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-75415953,data\raw_pdfs\trabalho\35_decreto-lei_n.º_2092009_-_diário_da_república_n.º_1712009_série_i_de_2009-09-03.pdf,downloaded
Trabalho,"Portaria n.º 1553-D/2008 - Diário da República n.º 252/2008, 4º Suplemento, Série I de 2008-12-31",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2008-840277683,data\raw_pdfs\trabalho\36_portaria_n.º_1553-d2008_-_diário_da_república_n.º_2522008_4º_suplemento_série_i_de_2008-12-31.pdf,downloaded
Trabalho,"Decreto-Lei n.º 245/2008 - Diário da República n.º 244/2008, Série I de 2008-12-18",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2008-34498675,data\raw_pdfs\trabalho\37_decreto-lei_n.º_2452008_-_diário_da_república_n.º_2442008_série_i_de_2008-12-18.pdf,downloaded
Trabalho,"Portaria n.º 139/2007 - Diário da República n.º 20/2007, Série I de 2007-01-29",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2007-125499836,data\raw_pdfs\trabalho\38_portaria_n.º_1392007_-_diário_da_república_n.º_202007_série_i_de_2007-01-29.pdf,downloaded
Trabalho,"Decreto-Lei n.º 220/2006 - Diário da República n.º 212/2006, Série I de 2006-11-03",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2006-34533075,data\raw_pdfs\trabalho\39_decreto-lei_n.º_2202006_-_diário_da_república_n.º_2122006_série_i_de_2006-11-03.pdf,downloaded
Trabalho,"Decreto-Lei n.º 169/2006 - Diário da República n.º 158/2006, Série I de 2006-08-17",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2006-839652880,data\raw_pdfs\trabalho\40_decreto-lei_n.º_1692006_-_diário_da_república_n.º_1582006_série_i_de_2006-08-17.pdf,downloaded
Trabalho,"Lei n.º 99/2003 - Diário da República n.º 197/2003, Série I-A de 2003-08-27",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2003-34560075,data\raw_pdfs\trabalho\41_lei_n.º_992003_-_diário_da_república_n.º_1972003_série_i-a_de_2003-08-27.pdf,downloaded
Trabalho,"Decreto-Lei n.º 14/2003 - Diário da República n.º 25/2003, Série I-A de 2003-01-30",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2003-913425741,data\raw_pdfs\trabalho\42_decreto-lei_n.º_142003_-_diário_da_república_n.º_252003_série_i-a_de_2003-01-30.pdf,downloaded
Trabalho,"Decreto Regulamentar n.º 20/2001 - Diário da República n.º 295/2001, Série I-B de 2001-12-22",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2001-107689240,data\raw_pdfs\trabalho\43_decreto_regulamentar_n.º_202001_-_diário_da_república_n.º_2952001_série_i-b_de_2001-12-22.pdf,downloaded
Trabalho,"Lei n.º 90/2001 - Diário da República n.º 192/2001, Série I-A de 2001-08-20",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2001-107787674,data\raw_pdfs\trabalho\44_lei_n.º_902001_-_diário_da_república_n.º_1922001_série_i-a_de_2001-08-20.pdf,downloaded
Trabalho,"Decreto-Lei n.º 102/2000 - Diário da República n.º 128/2000, Série I-A de 2000-06-02",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2000-107689199,data\raw_pdfs\trabalho\45_decreto-lei_n.º_1022000_-_diário_da_república_n.º_1282000_série_i-a_de_2000-06-02.pdf,downloaded
Trabalho,"Decreto-Lei n.º 100/99 - Diário da República n.º 76/1999, Série I-A de 1999-03-31",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1999-1011853559,,skipped_not_in_force
Trabalho,"Decreto-Lei n.º 480/99 - Diário da República n.º 261/1999, Série I-A de 1999-11-09",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1999-34575575,data\raw_pdfs\trabalho\47_decreto-lei_n.º_48099_-_diário_da_república_n.º_2611999_série_i-a_de_1999-11-09.pdf,downloaded
Trabalho,"Decreto-Lei n.º 503/99 - Diário da República n.º 271/1999, Série I-A de 1999-11-20",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1999-34565375,data\raw_pdfs\trabalho\48_decreto-lei_n.º_50399_-_diário_da_república_n.º_2711999_série_i-a_de_1999-11-20.pdf,downloaded
Trabalho,"Portaria n.º 564/99 - Diário da República n.º 173/1999, Série I-B de 1999-07-27",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1999-215421202,data\raw_pdfs\trabalho\49_portaria_n.º_56499_-_diário_da_república_n.º_1731999_série_i-b_de_1999-07-27.pdf,downloaded
Trabalho,"Decreto-Lei n.º 143/99 - Diário da República n.º 101/1999, Série I-A de 1999-04-30",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1999-221827597,,skipped_not_in_force
Trabalho,"Portaria n.º 405/98 - Diário da República n.º 158/1998, Série I-B de 1998-07-11",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1998-150731560,,skipped_not_in_force
Trabalho,"Lei n.º 28/98 - Diário da República n.º 145/1998, Série I-A de 1998-06-26",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1998-58889832,,skipped_not_in_force
Trabalho,"Lei n.º 23/98 - Diário da República n.º 121/1998, Série I-A de 1998-05-26",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1998-1017674240,,skipped_not_in_force
Trabalho,"Lei n.º 15/97 - Diário da República n.º 125/1997, Série I-A de 1997-05-31",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1997-115698417,data\raw_pdfs\trabalho\54_lei_n.º_1597_-_diário_da_república_n.º_1251997_série_i-a_de_1997-05-31.pdf,downloaded
Trabalho,"Portaria n.º 1456-A/95 - Diário da República n.º 284/1995, 1º Suplemento, Série I-B de 1995-12-11",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1995-67485184,data\raw_pdfs\trabalho\55_portaria_n.º_1456-a95_-_diário_da_república_n.º_2841995_1º_suplemento_série_i-b_de_1995-12-11.pdf,downloaded
Trabalho,"Decreto-Lei n.º 235/92 - Diário da República n.º 246/1992, Série I-A de 1992-10-24",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1992-106547158,data\raw_pdfs\trabalho\56_decreto-lei_n.º_23592_-_diário_da_república_n.º_2461992_série_i-a_de_1992-10-24.pdf,downloaded
Trabalho,"Lei n.º 12/92 - Diário da República n.º 162/1992, Série I-A de 1992-07-16",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1992-953229720,data\raw_pdfs\trabalho\57_lei_n.º_1292_-_diário_da_república_n.º_1621992_série_i-a_de_1992-07-16.pdf,downloaded
Trabalho,"Lei n.º 11/92 - Diário da República n.º 161/1992, Série I-A de 1992-07-15",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1992-953229729,data\raw_pdfs\trabalho\58_lei_n.º_1192_-_diário_da_república_n.º_1611992_série_i-a_de_1992-07-15.pdf,downloaded
Trabalho,"Decreto-Lei n.º 72/90 - Diário da República n.º 52/1990, Série I de 1990-03-03",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1990-115883887,,skipped_not_in_force
Trabalho,"Decreto-Lei n.º 243/86 - Diário da República n.º 190/1986, Série I de 1986-08-20",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1986-213345474,data\raw_pdfs\trabalho\60_decreto-lei_n.º_24386_-_diário_da_república_n.º_1901986_série_i_de_1986-08-20.pdf,downloaded
Trabalho,"Portaria n.º 212/85 - Diário da República n.º 89/1985, Série I de 1985-04-17",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/1985-888215803,data\raw_pdfs\trabalho\61_portaria_n.º_21285_-_diário_da_república_n.º_891985_série_i_de_1985-04-17.pdf,downloaded
